Permiso CRE,Place ID,Marca,Estacion,Direccion,Municipio,Estado,Region,Lat,Lon
CNE/PL/319/EXP/ES/2025,30590,,GRUPO CHALURR S A P I DE CV,,Aguascalientes,Aguascalientes,Occidente,21.91355,-102.2867
CNE/PL/320/EXP/ES/2025,30555,,ROLANDO CORTEZ HERNANDEZ,,Tlapa de Comonfort,Guerrero,Sur,17.55086,-98.66283
CNE/PL/321/EXP/ES/2025,30556,,ROBERTO ESPINOZA HERNANDEZ,,Atltzayanca,Tlaxcala,Centro,19.40746,-97.81657
CNE/PL/322/EXP/ES/2025,30597,,TRANSPORTES ESPECIALIZADOS PROGRAMADOS SA DE CV,,Chalco,México,Centro,19.28576,-98.87995
CNE/PL/323/EXP/ES/2025,30557,,"GASOLINERA REY TECAMPA, S.A. DE C.V.",,Teloloapan,Guerrero,Sur,18.34971,-99.8405
CNE/PL/324/EXP/ES/2025,30613,,SERVICIO VALLE DE IZTACIHUATL POPOCATEPETL SA DE CV,,San Martín Texmelucan,Puebla,Centro,19.26592,-98.44261
CNE/PL/325/EXP/ES/2025,30558,,GASOLINERA PRIMER ANILLO SA DE CV,,Aguascalientes,Aguascalientes,Occidente,21.85749,-102.2953
CNE/PL/326/EXP/ES/2025,30523,,SERVICIOS ECOLOGICOS COMITAN SA DE CV,,Mérida,Yucatán,Sureste,20.95093,-89.64664
CNE/PL/327/EXP/ES/2025,30559,,DERIVADOS DEL PETROLEO DE NUEVO LAREDO SA DE CV,,Nuevo Laredo,Tamaulipas,Noreste,27.50755,-99.58669
CNE/PL/328/EXP/ES/2025,30598,,RAUL HERIBERTO HERNANDEZ PRIOR,,Francisco Z. Mena,Puebla,Centro,20.64248,-97.87701
CNE/PL/329/EXP/ES/2025,30560,,ESGO AUTOTRANSPORTES SA DE CV,,Tepeapulco,Hidalgo,Centro,19.69404,-98.56077
CNE/PL/330/EXP/ES/2025,30524,,ESTACION DE SERVICIO MIRAVALLE SA DE CV,,Cajeme,Sonora,Noroeste,27.47785,-109.9232
CNE/PL/331/EXP/ES/2025,30525,,OLIVANDERS SA DE CV,,Mérida,Yucatán,Sureste,20.99468,-89.71938
CNE/PL/332/EXP/ES/2025,30526,,SUPER SERVICIO ABY SA DE CV,,Culiacán,Sinaloa,Noroeste,24.7734,-107.4042
CNE/PL/333/EXP/ES/2025,30527,,MA SOLEDAD SOLORZANO AGUILERA,,Salamanca,Guanajuato,Occidente,20.62454,-101.1614
CNE/PL/334/EXP/ES/2025,30589,,SERVICIO SAN RAMON DE AMOZOC SA DE CV,,Amozoc,Puebla,Centro,19.08609,-98.04849
CNE/PL/335/EXP/ES/2025,30575,,ALPEZ GAS SA DE CV,,Guadalajara,Jalisco,Occidente,20.65035,-103.3419
CNE/PL/336/EXP/ES/2025,30627,,COMSA. COMBUSTIBLES MEXICANOS SA DE CV,,Reynosa,Tamaulipas,Noreste,26.02694,-98.35
CNE/PL/337/EXP/ES/2025,30528,,PETRO CARBURANTES DEL NORTE SA DE CV,,Celaya,Guanajuato,Occidente,20.53231,-100.835
CNE/PL/338/EXP/ES/2025,30529,,ENERGETICOS DEL ALTIPLANO SA DE CV,,Apodaca,Nuevo León,Noreste,25.83025,-100.2441
CNE/PL/339/EXP/ES/2025,30609,,NARBEL VARGAS BARAJAS,,Quitupan,Jalisco,Occidente,19.89369,-102.834
CNE/PL/340/EXP/ES/2025,30614,,MULTISERVICIOS VALLE DE JOVEL SA DE CV,,San Cristóbal de las Casas,Chiapas,Sur,16.71602,-92.62608
