Fecha,Region,Estado,Municipio,Estacion,Permiso CRE,Direccion,Regular,Premium,Diesel
2026-08-17,No especificado,No especificado,No especificado,,PL/9729/EXP/ES/2015,,23.99,29.29,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9728/EXP/ES/2015,,24.00,28.70,
2026-08-17,No especificado,No especificado,No especificado,,PL/9727/EXP/ES/2015,,23.99,28.91,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9726/EXP/ES/2015,,23.28,28.13,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9725/EXP/ES/2015,,22.65,27.00,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9724/EXP/ES/2015,,23.99,29.34,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9723/EXP/ES/2015,,23.99,29.34,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9722/EXP/ES/2015,,24.38,29.58,
2026-08-17,No especificado,No especificado,No especificado,,PL/9721/EXP/ES/2015,,23.99,29.89,
2026-08-17,No especificado,No especificado,No especificado,,PL/9720/EXP/ES/2015,,23.99,29.34,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/972/EXP/ES/2015,,23.99,29.99,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9719/EXP/ES/2015,,23.70,27.50,
2026-08-17,No especificado,No especificado,No especificado,,PL/9718/EXP/ES/2015,,23.97,29.14,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9717/EXP/ES/2015,,23.50,27.70,
2026-08-17,No especificado,No especificado,No especificado,,PL/9716/EXP/ES/2015,,23.61,,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9715/EXP/ES/2015,,23.99,28.95,
2026-08-17,No especificado,No especificado,No especificado,,PL/9714/EXP/ES/2015,,23.69,27.59,
2026-08-17,No especificado,No especificado,No especificado,,PL/9713/EXP/ES/2015,,23.29,28.48,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9712/EXP/ES/2015,,20.15,,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9711/EXP/ES/2015,,23.95,27.80,26.98
2026-08-17,No especificado,No especificado,No especificado,,PL/9710/EXP/ES/2015,,23.99,29.99,
2026-08-17,No especificado,No especificado,No especificado,,PL/971/EXP/ES/2015,,23.99,28.80,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9709/EXP/ES/2015,,23.99,28.99,27.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9708/EXP/ES/2015,,23.99,28.99,27.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9707/EXP/ES/2015,,23.67,27.47,26.85
2026-08-17,No especificado,No especificado,No especificado,,PL/9706/EXP/ES/2015,,23.44,27.68,
2026-08-17,No especificado,No especificado,No especificado,,PL/9704/EXP/ES/2015,,23.48,28.49,
2026-08-17,No especificado,No especificado,No especificado,,PL/9703/EXP/ES/2015,,23.99,,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9702/EXP/ES/2015,,23.75,28.79,
2026-08-17,No especificado,No especificado,No especificado,,PL/9701/EXP/ES/2015,,23.60,27.75,26.85
2026-08-17,No especificado,No especificado,No especificado,,PL/9700/EXP/ES/2015,,23.99,28.30,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/970/EXP/ES/2015,,23.99,28.84,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9699/EXP/ES/2015,,24.49,29.89,27.50
2026-08-17,No especificado,No especificado,No especificado,,PL/9698/EXP/ES/2015,,23.42,27.94,26.85
2026-08-17,No especificado,No especificado,No especificado,,PL/9697/EXP/ES/2015,,24.00,29.59,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9696/EXP/ES/2015,,23.99,,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9695/EXP/ES/2015,,23.99,27.99,27.00
