Fecha,Region,Estado,Municipio,Estacion,Permiso CRE,Direccion,Regular,Premium,Diesel,Tipo Diesel
2026-08-18,,,,OPERADORA DE SERVICIOS EN MOVILIDAD S.A. DE C.V.,PL/19754/EXP/ES/2016,Nuevo Periférico No. 250 Km 0.800,22.99,28.39,26.99,Automotriz
2026-08-18,,,,SÚPER SERVICIO LA CONCHA S.A. DE C.V.,PL/1671/EXP/ES/2015,Avenida Concepción No. 6100,23.49,26.70,,
2026-08-18,,,,ESTACIÓN DE SERVICIOS GOMCO S.A. DE C.V.,PL/10311/EXP/ES/2015,Avenida Constitución No. 485,23.49,26.89,26.75,Automotriz
2026-08-18,,,,GASEGURO S.A. DE C.V.,PL/8378/EXP/ES/2015,Boulevard Iztaccihuatl Y/O Camino San Sebastian-Sta Fe 4987,23.49,28.70,,
2026-08-18,,,,GASERVICIOS SAN DIEGO S.A. DE C.V.,PL/10165/EXP/ES/2015,Carretera Tlajomulco - San Miguel No. 1500,23.50,28.80,26.99,Diésel
2026-08-18,,,,SERVICIO JIPIGO S.A. DE C.V.,PL/11005/EXP/ES/2015,Carretera Tlajomulco- San Miguel Cuyutlán Km 11.50,23.50,28.80,26.99,Diésel
2026-08-18,,,,JOSÉ LUIS IBARRA NAVARRO,PL/4506/EXP/ES/2015,Carretera Guadlajara - Chapala Km 18,23.79,28.69,26.98,Diésel
2026-08-18,,,,VALCOOP Y ASOCIADOS S.A. DE C.V.,PL/9321/EXP/ES/2015,Carretera Guadalajara-Chapala Km 15.50 No. 10001,23.80,28.70,26.99,Diésel
2026-08-18,,,,GASOLINERA DIAL S.A. DE C.V.,PL/11397/EXP/ES/2015,Prolongación López Mateos Sur No. 807,23.87,28.97,27.29,Diésel
2026-08-18,,,,COMBUSTIBLE TLAJOMULCO S.A. DE C.V.,PL/10108/EXP/ES/2015,Avenida Concepción No. 79,23.89,,26.99,Automotriz
2026-08-18,,,,GRUPO G&G DE OCCIDENTE S.A. DE C.V.,PL/1739/EXP/ES/2015,Pedro Parra Centeno No. 71,23.89,29.29,27.29,Automotriz
